obstime,tempr,ap,ws,wd,rh
11/08/2015 05:00:00,-7.75,965.35,10.45,62.23,55.1
11/08/2015 06:00:00,-7.24,965.59,12.45,55.87,53.82
11/08/2015 07:00:00,-7.26,966.08,13.97,52.57,57.55
11/08/2015 08:00:00,-6.95,966.44,13.4,59.75,59.12
11/08/2015 09:00:00,-6.75,966.8,11.52,51.07,57.58
11/08/2015 10:00:00,-6.44,967.21,10.1,60.08,54.77
11/08/2015 11:00:00,-6.42,967.78,9.39,60.08,56.15
11/08/2015 12:00:00,-6.8,968.34,7.59,54.9,61.2
11/08/2015 13:00:00,-7.2,968.87,6.93,92.69,64.63
11/08/2015 14:00:00,-7.29,969.21,6.31,106.73,58.92
11/08/2015 15:00:00,-7.36,969.57,6.6,113.83,52.88
11/08/2015 16:00:00,-8,970.15,10.75,95.87,56.63
11/08/2015 17:00:00,-7.82,971,12.42,89.88,62.52
11/08/2015 18:00:00,-8.02,972,11.11,89.25,62.78
11/08/2015 19:00:00,-8.86,972.66,11.68,95.13,62.93
11/08/2015 20:00:00,-8.19,973.32,12.66,92.1,55.63
11/08/2015 21:00:00,-7.8,973.78,16.88,88.83,51.5
11/08/2015 22:00:00,-8.46,974.31,17,93.95,55.38
11/08/2015 23:00:00,-8.56,975.04,17.34,90.45,55.95
11/09/2015 00:00:00,-8.75,975.57,21.62,90.17,56.18
11/09/2015 01:00:00,-8.12,976.16,23.28,87.07,52.9
11/09/2015 02:00:00,-7.52,976.72,23.06,88.35,52.88
11/09/2015 03:00:00,-6.21,976.95,21.3,88.3,50.98
11/09/2015 04:00:00,-4.8,977.22,19.13,80.72,48.77
11/09/2015 05:00:00,-3.88,977.74,19.36,78.72,46.18
11/09/2015 06:00:00,-3.27,978.43,19.39,74.02,44.62
11/09/2015 07:00:00,-3.1,978.86,17.81,63.73,50.37
11/09/2015 08:00:00,-2.74,979.14,17.92,69.08,48.17
11/09/2015 09:00:00,-2.23,979.88,16.49,68.63,47.42
11/09/2015 10:00:00,-2.3,980.85,13.45,66.65,48.07
11/09/2015 11:00:00,-3.04,981.17,17.79,87.37,49.28
11/09/2015 12:00:00,-3.85,981.54,19.34,85.92,49.38
11/09/2015 13:00:00,-4.54,981.91,20.54,85.93,48.28
11/09/2015 14:00:00,-5.48,982.56,21.24,89.05,49.33
11/09/2015 15:00:00,-6.23,983.16,23.43,87.37,47.37
11/09/2015 16:00:00,-7,983.58,24.21,88.62,48.53
11/09/2015 17:00:00,-7.81,983.86,26.2,87.98,50.88
11/09/2015 18:00:00,-8.14,984.15,27.09,88.35,51.23
11/09/2015 19:00:00,-8.66,984.57,28.04,90.87,52.35
11/09/2015 20:00:00,-9.05,984.87,29.93,89.92,53
11/09/2015 21:00:00,-9.92,985.58,26.68,93.07,56.87
11/09/2015 22:00:00,-10.35,986.12,24.03,99.28,59.25
11/09/2015 23:00:00,-10.88,986.34,25.3,101.77,61.92
11/10/2015 00:00:00,-10.89,986.9,24.05,104.27,61.63
11/10/2015 01:00:00,-10.18,986.96,22.93,106.22,59.28
11/10/2015 02:00:00,-9.35,986.72,22.16,103.32,56.95
11/10/2015 03:00:00,-8.22,986.21,23.36,89.43,54.6
11/10/2015 04:00:00,-7.09,985.81,21.84,88.82,51.05
11/10/2015 05:00:00,-6.07,985.4,22.08,91.77,50.97
11/10/2015 06:00:00,-5.08,984.93,23.03,86.13,51.13
11/10/2015 07:00:00,-3.91,984.91,19.44,86.02,49.03
11/10/2015 08:00:00,-3.12,984.3,20.37,79.75,46.23
11/10/2015 09:00:00,-2.49,983.92,18.4,72.1,45.42
11/10/2015 10:00:00,-2.25,983.36,17.15,56.15,46.35
11/10/2015 11:00:00,-2.31,983.36,15.11,48.87,46.63
11/10/2015 12:00:00,-2.55,983.12,13.87,47,46.57
11/10/2015 13:00:00,-2.93,982.89,7.62,70.02,45.88
11/10/2015 14:00:00,-3.13,982.24,10.89,91.65,42.47
11/10/2015 15:00:00,-4.17,981.41,16.68,90.82,43.72
11/10/2015 16:00:00,-5.52,980.65,16.74,97.07,45.33
11/10/2015 17:00:00,-6.94,979.88,18.71,95.05,49.07
11/10/2015 18:00:00,-7.39,978.81,19.14,97.43,48.52
11/10/2015 19:00:00,-7.85,978.22,19.29,104.48,48.35
11/10/2015 20:00:00,-7.83,977.46,17.48,112.1,46.75
11/10/2015 21:00:00,-7.81,976.25,20.65,112.88,46
11/10/2015 22:00:00,-7.62,975.15,18.78,105.4,47.35
11/10/2015 23:00:00,-7.97,973.57,24.89,115.2,55.23
11/11/2015 00:00:00,-6.8,972.43,22.39,104.05,55.45
11/11/2015 01:00:00,-6.38,971.21,23.79,108.42,58.5
11/11/2015 02:00:00,-5.03,970.51,22.38,90.3,53.12
11/11/2015 03:00:00,-4.02,969.39,25.62,91.18,49.12
11/11/2015 04:00:00,-4,968.53,27.46,94.25,53.48
11/11/2015 05:00:00,-3.3,967.67,30.39,95.17,52.1
11/11/2015 06:00:00,-3.14,967.38,30.5,91.57,54.82
11/11/2015 09:00:00,-2.98,968.42,30.24,94.78,53.37
11/11/2015 12:00:00,-3.46,970.89,31.02,95.27,49.38
11/11/2015 13:00:00,-4,972.2,31.12,93.83,48.43
11/11/2015 14:00:00,-4.81,973.6,31.39,96.6,48.3
11/11/2015 15:00:00,-5.66,974.79,31,97.57,47.6
11/11/2015 16:00:00,-6.78,975.58,30.38,99.22,49.08
11/11/2015 17:00:00,-7.81,976.25,29.32,101.2,50.47
11/11/2015 18:00:00,-8.53,977.48,28.15,100,50.07
11/11/2015 19:00:00,-8.86,978.27,27.22,97.3,48.72
11/11/2015 20:00:00,-9.21,978.89,25.92,95.8,48.02
11/11/2015 21:00:00,-8.93,979.45,24.55,92.08,44.52
11/11/2015 22:00:00,-8.31,979.7,23.32,87.28,40.02
11/11/2015 23:00:00,-8.37,980.33,19.57,91.1,40.57
11/12/2015 00:00:00,-7.72,980,21.3,87.87,37.98
11/12/2015 01:00:00,-6.76,979.86,20.44,72.72,35.07
11/12/2015 02:00:00,-5.79,979.39,17.2,50.4,33.55
11/12/2015 03:00:00,-5.31,978.88,20.09,56.3,35.45
11/12/2015 04:00:00,-5.13,978.97,16.25,62.3,33.98
11/12/2015 05:00:00,-5.37,978.48,18.71,48.83,41.1
11/12/2015 06:00:00,-5.04,978.47,15.43,47.95,44.1
11/12/2015 07:00:00,-5.09,978.57,18.65,60.4,44.58
11/12/2015 08:00:00,-5.08,978.8,18.36,63.12,42.63
11/12/2015 09:00:00,-5.26,978.4,22.07,76.43,38.88
11/12/2015 10:00:00,-5.57,978.08,20.05,79.72,39.65
11/12/2015 11:00:00,-5.98,977.55,19.91,77.63,39.63
11/12/2015 12:00:00,-6.22,977.21,20.67,77.67,39.03
11/12/2015 13:00:00,-6.64,977.14,20.86,86,41.93
11/12/2015 14:00:00,-6.89,977.24,22.17,85.62,40.13
11/12/2015 15:00:00,-7.49,977.41,24.4,85.03,40.47
11/12/2015 16:00:00,-8.07,977.78,24.58,85.53,40.72
11/12/2015 17:00:00,-8.22,977.94,26.74,88.52,39.57
11/12/2015 18:00:00,-8.39,978.13,27.24,88.7,39.8
11/12/2015 19:00:00,-8.68,978.2,26.82,93.67,42.38
11/12/2015 20:00:00,-7.8,978.78,26.55,85.5,43.6
11/12/2015 21:00:00,-7.4,979.87,21.08,75.07,45.68
11/12/2015 22:00:00,-6.78,980.8,19.01,68.72,48.08
11/12/2015 23:00:00,-6.65,981.5,20.57,80.48,50.47
11/13/2015 00:00:00,-6.54,982.16,21.02,84.78,51.43
11/13/2015 01:00:00,-6.36,982.92,19.44,87.38,46.55
11/13/2015 02:00:00,-5.86,983.12,18.77,90.52,45.27
11/13/2015 03:00:00,-4.75,983.33,17.16,90.37,43.73
11/13/2015 04:00:00,-3.48,983.6,17.95,81.1,41.83
11/13/2015 05:00:00,-2.65,984.08,18.09,80.08,40.55
11/13/2015 06:00:00,-1.8,984.4,14.48,77.63,42.65
11/13/2015 07:00:00,-1.32,984.75,14.87,63.07,41.42
11/13/2015 08:00:00,-0.94,984.55,19.76,81.23,40.58
11/13/2015 09:00:00,-0.8,984.85,19.05,85.53,40.63
11/13/2015 10:00:00,-1,985.15,19.68,86.08,39.62
11/13/2015 11:00:00,-1.59,985.52,20.67,86.68,40.63
11/13/2015 12:00:00,-2.37,985.61,23.36,86.73,40.23
11/13/2015 13:00:00,-3.12,985.78,22.24,90.38,40.38
11/13/2015 14:00:00,-4.03,985.83,23.54,88.23,40.08
11/13/2015 15:00:00,-4.49,985.94,21.96,86.88,39.6
11/13/2015 16:00:00,-5.32,986.05,21.41,89.25,41.85
11/13/2015 17:00:00,-6.17,986.52,22.64,89.2,43.72
11/13/2015 18:00:00,-6.89,986.63,24.81,88.72,41.75
11/13/2015 19:00:00,-7.74,986.73,25.2,91.65,42.83
11/13/2015 20:00:00,-8.84,986.88,21.31,97.1,46.1
11/13/2015 21:00:00,-9.5,986.6,23.97,98.35,46.7
11/13/2015 22:00:00,-9.45,986.18,26.14,93.85,45.6
11/13/2015 23:00:00,-9.33,985.83,28.29,89.53,43.33
11/14/2015 00:00:00,-9.01,985.7,26.13,87.15,43.4
11/14/2015 01:00:00,-8.47,985.2,25.4,87.92,43.1
11/14/2015 02:00:00,-7.55,984.72,23.16,88.02,41.52
11/14/2015 03:00:00,-6.49,984.23,20.93,82.68,39.38
11/14/2015 04:00:00,-5.41,983.62,19.09,70.28,38.28
11/14/2015 05:00:00,-4.54,983.26,16.97,60.78,39.72
11/14/2015 06:00:00,-4.07,982.89,13.16,51.47,41.4
11/14/2015 07:00:00,-4.17,982.61,9.18,28.52,41.18
11/14/2015 08:00:00,-3.48,982.51,7.34,89.25,41.5
11/14/2015 09:00:00,-3.56,982.44,8.19,39.3,43.42
11/14/2015 10:00:00,-3.31,982.37,4.39,34.82,44.08
11/14/2015 11:00:00,-3.08,982.37,3.52,104.93,44.17
11/14/2015 12:00:00,-2.58,982.26,3.25,169.02,44.35
11/14/2015 13:00:00,-3.2,982.34,4.84,183.1,47.48
11/14/2015 14:00:00,-4.45,982.29,11.84,91.55,47.95
11/14/2015 15:00:00,-4.12,982.18,17.3,79.9,38.03
11/14/2015 16:00:00,-4.77,982.33,20.72,79.82,35.25
11/14/2015 17:00:00,-6.18,982.71,20.35,87.37,37.87
11/14/2015 18:00:00,-6.87,983.06,21.12,85.62,37.23
11/14/2015 19:00:00,-8.22,983.39,24.7,90.08,39.92
11/14/2015 20:00:00,-9.21,983.62,27.36,88.27,41.13
11/14/2015 21:00:00,-9.69,984.19,28.04,88.43,40.97
11/14/2015 22:00:00,-9.95,984.53,29.02,86.3,40.48
11/14/2015 23:00:00,-9.76,985.02,28.26,86.27,39.65
11/15/2015 00:00:00,-9.34,985.56,27.23,86.98,39.3
11/15/2015 01:00:00,-8.82,986.08,25.78,86.52,40.13
11/15/2015 02:00:00,-7.84,986.52,22.44,81.53,39.38
11/15/2015 03:00:00,-6.86,986.87,18.93,75.58,38.43
11/15/2015 04:00:00,-6.26,986.87,18.84,65.83,39.77
11/15/2015 05:00:00,-5.59,987.05,17.17,56.5,40.82
11/15/2015 06:00:00,-5.14,987.38,12.21,53.98,42.38
11/15/2015 07:00:00,-5.16,988,8.46,25.83,42.4
11/15/2015 10:00:00,-4.55,988.84,4.98,226.08,42.72
11/15/2015 11:00:00,-3.95,989.27,3.86,240.77,41.23
11/15/2015 12:00:00,-4.53,989.74,5.3,219.5,43.3
11/15/2015 13:00:00,-5.31,990.03,5.17,208.08,51.92
11/15/2015 14:00:00,-6.1,990.23,6.48,110.02,53.72
11/15/2015 15:00:00,-7.36,990.46,9.65,93.87,49.17
11/15/2015 16:00:00,-7.93,990.86,10.5,85.12,48.17
11/15/2015 17:00:00,-8.06,991.41,12.36,91.12,52.03
11/15/2015 18:00:00,-7.52,991.97,13.36,87.43,52.57
11/15/2015 19:00:00,-7.7,992.46,16.88,89.72,51.03
11/15/2015 20:00:00,-7.68,992.86,18.14,89.02,49.48
11/15/2015 21:00:00,-7.48,993.13,16.25,89.2,50.93
11/15/2015 22:00:00,-6.63,993.4,11.72,85.88,49.13
11/15/2015 23:00:00,-6.74,993.72,13.43,93,50.15
11/16/2015 00:00:00,-6.45,994.02,13.15,91.37,52.65
11/16/2015 01:00:00,-6.44,994.21,18.11,89.37,52.7
11/16/2015 02:00:00,-6.98,994.49,19.8,90.2,50.25
11/16/2015 03:00:00,-7.17,994.75,20.11,89.85,46.25
11/16/2015 04:00:00,-7.04,994.79,19.73,90.28,44.6
11/16/2015 05:00:00,-6.55,994.92,16.98,88.9,44.72
11/16/2015 06:00:00,-5.57,995.01,13.86,86.13,43.17
11/16/2015 07:00:00,-4.71,995.14,9.68,55.35,41.25
11/16/2015 08:00:00,-4.25,995.26,5.76,111.98,40.48
11/16/2015 12:00:00,-3.49,995.4,2.82,241.25,41.02
11/16/2015 14:00:00,-5.17,995.33,1.68,207.98,50.07
11/16/2015 15:00:00,-6.25,995.29,2.56,141.58,48.47
11/16/2015 16:00:00,-7.69,995.38,5.11,124.9,47.73
11/16/2015 17:00:00,-8.76,995.57,7.79,127,45.5
11/16/2015 18:00:00,-9.53,995.49,10.7,123.6,42.55
11/16/2015 19:00:00,-10.04,995.44,10.48,109.83,40.22
11/16/2015 20:00:00,-11.01,995.3,11.76,105.3,40.52
11/16/2015 21:00:00,-11.69,995.08,14.95,95.67,42.13
11/16/2015 22:00:00,-10.93,994.6,18.1,89.63,39.2
11/16/2015 23:00:00,-10.95,994.21,20.55,89.07,39.32
11/17/2015 00:00:00,-10.35,993.73,19.5,89.5,38.47
11/17/2015 01:00:00,-9.49,993.28,18.67,81.42,35.93
11/17/2015 02:00:00,-8.83,992.69,18.25,78.23,34.97
11/17/2015 03:00:00,-8.04,992.07,18.16,64.08,35.37
11/17/2015 04:00:00,-7.5,991.6,16.09,55.22,38.05
11/17/2015 05:00:00,-6.92,991.08,11.09,41.45,41.08
11/17/2015 06:00:00,-6.64,990.44,7.88,32.48,37.27
11/17/2015 07:00:00,-6.46,990.04,7.08,24.63,40.47
11/17/2015 08:00:00,-6.43,989.55,6.9,48.92,38.08
11/17/2015 09:00:00,-5.91,989.02,6.63,55.27,36.3
11/17/2015 10:00:00,-5.82,988.33,4.11,48.3,36.92
11/17/2015 11:00:00,-5.02,987.3,2.96,235.6,37.75
11/17/2015 12:00:00,-5.61,986.46,4.26,224.55,39.35
11/17/2015 13:00:00,-6.19,985.62,5.81,210.1,48.45
11/17/2015 14:00:00,-5.88,985.22,2.39,224.33,47.88
11/17/2015 15:00:00,-6.38,984.93,3.11,174.72,49.25
11/17/2015 16:00:00,-6.95,983.96,10.78,87.67,43.6
11/17/2015 17:00:00,-6.46,983.02,19.12,81.73,35.35
11/17/2015 18:00:00,-7.22,983,17.36,72.57,37.3
11/17/2015 19:00:00,-8.16,982.67,14.72,87.5,38.83
11/17/2015 20:00:00,-8.15,982.04,15.35,82.65,35.08
11/17/2015 21:00:00,-8.85,981.06,20.67,89.48,37.88
11/17/2015 22:00:00,-8.64,980.28,23.34,88.15,39.62
11/17/2015 23:00:00,-8.86,979,28,85.02,44.92
